cID,name,nature,food,activity,history,themepark,hotel,spa,shopping,exhibition,sports,festival,religion,citytour
1,가나,1,,,,,,,,,,,,
8,괌,1,,1,,,1,,1,,,,,
11,그리스,1,1,,1,,,,,,,,,
16,나미비아,1,,,,,,,,,,,,
18,나이지리아,1,,,,,,,,,,,,
20,남아프리카공화국,1,,1,,,,,,,,,,
21,네덜란드,1,,,,1,,,,,,,,1
22,네팔,1,,,,,,,,,,,,
23,노르웨이,1,,,,,,,,,,,,
26,뉴질랜드,1,,1,,,1,1,,,,,,
30,대만,1,1,,,,1,1,,,,,,
31,덴마크,1,,,,1,,,,,,,,1
34,독일,1,1,,1,1,,,1,,1,1,,1
36,라오스,1,,1,,,1,,,,,,,
39,러시아,1,1,,1,,,,,,,1,,1
52,마카오,,1,,,,1,,,,,,,
55,말레이시아,1,1,1,,1,1,,1,,,,,1
57,몰타,1,,1,,,1,,,,,,,
60,멕시코,1,1,1,1,,,,,,,1,,1
61,모나코,1,,,,,,,,,,,,
62,모로코,1,,,,,,,,,,,,1
63,모리셔스,1,,1,,,,,,,,,,
68,몰디브,1,,1,,,1,,,,,,,
69,몽골,1,,,,,,,,,,,,
70,미국,1,1,1,1,1,,,1,1,1,1,,1
71,미얀마,1,,,,,1,,,,,,,
82,베트남,1,1,1,,,1,,,,,,,1
83,벨기에,1,,,,,,,,,,,,1
86,보스니아 헤르체고비나,1,,,,,,,,,,,1,
88,볼리비아,1,,,,,,,,,,,,
92,복마리아나 군도,1,,,,,,,,,,,,
94,불가리아,1,,,,,,,,,,,,
95,브라질,1,,,,,,,,,1,1,,
101,사이프러스,1,,1,,,,,,,,,,
118,스리랑카,1,,1,,,1,,,,,,,
121,스웨덴,1,,,,,,,,,,,,1
122,스위스,1,1,,,,,1,,,,,,1
123,스페인,1,1,1,1,,1,,1,1,1,1,1,1
124,슬로바키아,1,,,1,,,,,,,,,
125,슬로베니아,1,,,,,1,,,,,,,
128,싱가포르,,1,,,,1,,1,,,,,1
130,아랍에미레이트,1,,,,,,,1,,,,,1
133,아르헨티나,1,1,,,,,,,1,1,,,1
134,아이슬란드,1,,,,,1,1,,,,1,,1
136,아일랜드,1,,1,,,,,,,,,,1
140,안도라,1,,1,,,,1,1,,,,,
143,알제리,1,,,,,,,,,,,,
147,에쿠아도르,1,,,,,,,,,,,,
149,영국,1,,,,1,,,1,1,1,1,,1
153,오스트레일리아,1,,1,,,1,,1,,,,,1
154,오스트리아,1,,,1,,,,,,,,,1
157,요르단,,,,1,,,,,,,,1,
160,우즈베키스탄,,,,1,,,,,,,,,
163,에티오피아,1,,,,,,,,,,,,
164,이라크,,,,,,,,,,,,,
165,이란,,,,,,,,,,,1,,1
166,이스라엘,,,,,,,,,,,,1,
167,이집트,1,,1,1,,,,,,,,,1
168,이탈리아,1,1,,1,,1,,1,,,,,1
169,인도,1,1,1,1,,,,,,,1,,1
170,인도네시아,1,1,1,,,1,,,,,,,
171,일본,1,1,,,1,1,1,1,1,,1,,1
176,중국,1,1,,1,1,1,,1,1,,1,,1
182,체코,1,,,1,,,,,,,,,
183,칠레,1,,,1,,,,,,,,,1
188,캄보디아,1,,,1,,,,,,,,,
189,캐나다,1,,,,,,1,1,,1,,,1
190,케냐,1,,,,,,,,,,,,
198,쿠바,1,,,,,,,,,,,,1
199,쿠웨이트,,,,1,,,,,,,,,
201,크로아티아,1,,,,,1,,,,,,,1
206,탄자니아,1,,,,,,,,,,,,
207,태국,1,1,1,,,1,,1,1,,1,,1
208,터키,1,,,,,,1,,,,,,1
217,파나마,1,,1,,,1,,,,,,,
218,파라과이,1,,,,1,,,,1,,,,
219,파키스탄,1,,,1,,,,,1,,,,
221,팔라우,1,,1,,,,,,,,,,
224,페루,1,,,1,,,,,,,,,1
225,포르투갈,1,,,,,,,,,,,,1
227,폴란드,1,,,,,,,,,,,,
229,프랑스,1,1,,1,1,,,1,1,,1,,1
230,피지,1,,1,,,1,,,,,,,
231,핀란드,1,,,,,,,,,,,,1
232,필리핀,1,1,1,,,1,,,,,,,
235,헝가리,1,,,,,,1,,,,,,
236,홍콩,,1,,,1,1,,1,,,,,1
