cID,pID,rating
207,1,4
70,2,3
176,3,4
30,4,3
30,5,5
207,6,4
8,7,5
70,8,4
171,9,5
171,10,4
171,11,5
34,12,5
170,13,4
189,14,5
232,15,4
176,16,5
171,17,5
171,18,5
176,19,4
168,20,4
207,21,3
70,22,5
171,23,5
171,24,5
30,25,5
30,26,5
70,27,5
123,28,5
207,29,5
171,30,4
207,31,4
130,32,4
171,33,4
171,34,4
207,35,5
176,36,4
171,37,5
171,38,5
153,39,3
176,40,4
170,41,5
176,42,5
236,43,4
189,44,4
207,45,4
170,46,4
30,47,4
55,48,2
128,49,3
170,50,3
232,51,5
176,52,4
171,53,4
207,54,5
176,55,3
171,56,4
207,57,5
176,58,4
232,59,4
171,60,5
123,61,4
70,62,5
171,63,4
229,64,5
149,65,5
122,66,5
34,67,5
171,68,4
207,69,4
34,70,5
153,71,5
122,72,5
168,73,5
153,74,4
86,75,4
125,76,4
235,77,4
176,78,3
70,79,4
229,80,4
176,81,4
55,82,4
71,83,3
207,84,4
128,85,4
207,86,4
176,87,3
176,88,4
207,89,3
171,90,3
207,91,4
171,92,4
171,93,4
171,94,4
82,95,4
171,96,4
123,97,4
236,98,4
207,99,4
171,100,4
171,101,4
82,102,5
82,103,4
176,104,2
171,105,4
171,106,4
176,107,4
55,108,4
128,109,4
36,110,4
207,111,5
170,112,4
207,113,5
30,114,5
176,115,3
232,116,4
208,117,4
232,118,4
124,119,4
70,120,4
70,121,3
55,122,4
232,123,4
232,124,5
207,125,4
39,126,4
207,127,4
236,128,4
30,129,4
23,130,4
31,131,4
121,132,4
231,133,4
207,134,4
26,135,5
153,136,5
71,137,4
207,138,4
68,139,4
176,140,4
236,141,4
123,142,5
176,143,3
208,144,5
82,145,4
63,146,2
170,147,5
176,148,5
55,149,5
171,150,5
219,151,4
128,152,5
171,153,3
176,154,5
176,155,4
36,156,2
236,157,5
82,158,1
236,159,1
171,160,3
169,161,5
22,162,5
70,163,5
30,164,4
128,165,5
82,166,4
232,167,4
232,168,3
171,169,4
171,170,4
123,171,4
149,172,4
229,173,4
168,174,4
171,175,4
176,176,3
232,177,4
207,178,5
168,179,5
176,180,5
227,181,4
124,182,4
235,183,4
154,184,4
182,185,4
128,186,3
70,187,5
171,188,4
176,189,4
207,190,4
176,191,4
168,192,4
229,193,4
154,194,4
171,195,4
176,196,4
176,197,4
30,198,4
171,199,5
176,200,3
176,201,4
188,202,2
176,203,4
232,204,3
69,205,3
171,206,4
176,207,4
176,208,3
176,209,4
176,210,4
176,211,4
171,212,4
171,213,4
176,214,4
171,215,4
82,216,4
229,217,4
122,218,4
154,219,4
168,220,4
34,221,4
171,222,5
30,223,5
176,224,4
176,225,4
171,226,5
171,227,5
70,228,3
176,229,3
171,230,3
171,231,4
236,232,4
30,233,4
176,234,4
70,235,4
30,236,5
207,237,4
36,238,5
171,239,4
26,240,5
128,241,5
176,242,4
171,243,5
153,244,5
207,245,5
176,246,4
30,247,4
188,248,4
171,249,4
176,250,2
170,251,4
70,252,5
70,253,4
153,254,5
70,255,4
182,256,4
154,257,5
171,258,5
176,259,4
171,260,3
122,261,5
168,262,1
201,263,3
154,264,4
229,265,1
8,266,4
30,267,3
82,268,4
182,269,5
176,270,4
207,271,5
232,272,4
169,273,5
55,274,1
68,275,4
171,276,5
30,277,4
176,278,5
208,279,4
168,280,4
82,281,5
82,282,5
236,283,4
176,284,4
176,285,4
171,286,4
232,287,3
70,288,4
171,289,5
52,290,5
236,291,4
231,292,5
176,293,4
176,294,4
232,295,4
30,296,4
176,297,5
8,298,4
171,299,5
153,300,4
153,301,4
176,302,4
70,303,4
171,304,4
176,305,3
121,306,3
21,307,4
31,308,4
83,309,3
168,310,4
153,311,5
171,312,4
36,313,2
70,314,5
70,315,4
82,316,5
70,317,4
82,318,3
176,319,3
70,320,4
176,321,3
236,322,5
171,323,4
30,324,4
171,325,3
52,326,4
170,327,4
176,328,4
229,329,4
171,330,4
70,331,5
82,332,5
232,333,4
171,334,5
171,335,4
232,336,4
176,337,2
171,338,4
160,339,3
171,340,5
171,341,4
176,342,4
82,343,5
153,344,4
236,345,4
171,346,5
30,347,3
70,348,5
188,349,4
176,350,4
82,351,4
82,352,4
171,353,4
232,354,4
171,355,5
208,356,4
229,357,5
171,358,5
8,359,5
232,360,4
232,361,3
70,362,4
171,363,4
82,364,2
188,365,2
176,366,5
82,367,5
176,368,5
176,369,4
171,370,5
70,371,4
232,372,5
207,373,5
171,374,5
201,375,4
171,376,4
176,377,5
207,378,4
171,379,4
123,380,4
122,381,4
229,382,4
168,383,4
82,384,4
176,385,4
171,386,3
171,387,4
70,388,3
171,389,4
207,390,4
171,391,4
232,392,4
232,393,5
171,394,4
34,395,4
236,396,4
26,397,4
71,398,4
171,399,3
123,400,5
208,401,5
82,402,5
208,403,4
176,404,4
55,405,4
70,406,4
176,407,4
176,408,4
171,409,4
207,410,3
171,411,3
82,412,3
207,413,4
182,414,2
235,415,2
154,416,2
34,417,2
207,418,4
70,419,4
176,420,4
236,421,3
176,422,3
52,423,4
176,424,4
171,425,4
171,426,4
39,427,3
232,428,4
232,429,4
232,430,4
182,431,5
154,432,5
235,433,5
201,434,5
